"기준_년분기_코드","행정동_코드","행정동_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20223","11620655","신원동","6428782","3181288","3247495","487859","1681002","1284317","878136","810803","1286667","1892128","1322416","661478","646170","997912","908678","909249","890886","894963","890979","891974","953953","996778"
"20223","11620665","서림동","4985934","2724044","2261891","467557","1265942","1018206","697722","602194","934313","1537746","1050263","499525","482295","727454","688650","711368","703861","697100","694644","691248","728244","759470"
"20223","11620685","신사동","7809603","3811071","3998532","652875","1851840","1502924","1088480","1039721","1673764","2307109","1676894","787242","772068","1196850","1069440","1112096","1103731","1097684","1089685","1090902","1137852","1177652"
"20223","11620695","신림동","10681065","5514220","5166846","633892","3760034","2505825","1375069","994480","1411765","2831317","2151126","1184710","1211383","1870410","1432120","1494683","1488616","1494249","1487572","1496258","1606347","1613341"
"20223","11620715","난향동","1458709","683266","775444","286668","133274","171381","262572","240415","364397","373634","289078","170104","176269","256131","193492","208725","204987","203697","203614","204873","212978","219835"
"20223","11620725","조원동","6757553","3457933","3299619","492930","1446441","1442456","1122623","986193","1266909","1708388","1381259","820854","828779","1160140","858133","970931","986264","986729","983480","971264","930096","928788"
"20223","11620735","대학동","6327540","3734096","2593444","478098","1849913","1349757","964371","713254","972145","1660783","1292440","738763","737593","1056175","841787","907013","907142","906394","900554","892882","899774","913781"
"20223","11620745","삼성동","7443684","3782876","3660808","752997","1296461","1149201","1075432","1100414","2069179","2042311","1505862","827435","812524","1241346","1014205","1071398","1067859","1059013","1055414","1048784","1061497","1079719"
"20223","11620765","미성동","5464911","2546185","2918725","883740","831717","847977","847861","800493","1253123","1694618","1135805","555440","532905","798785","747360","786789","771603","770439","763763","762714","793134","816468"
"20223","11620775","난곡동","6271216","2989636","3281582","999513","891466","866313","939572","969958","1604397","1822572","1314718","662766","652089","968869","850205","898884","882612","877880","876668","873990","911470","949714"
"20223","11650510","서초1동","7339027","3606198","3732830","1107691","1086313","1340126","1426374","1037992","1340533","1562853","1583206","1065943","1055665","1245852","825509","1086981","1130495","1126783","1116560","1095914","913652","868640"
"20223","11650520","서초2동","6803870","3413856","3390013","774027","1246317","1586211","1399585","894470","903259","1208283","1486851","1125446","1100731","1193764","688795","1025238","1091794","1096796","1093275","1047334","758078","691355"
"20223","11650530","서초3동","12108999","6170883","5938114","1633809","1927652","2401088","2327953","1843943","1974553","2407311","2620424","1906262","1849866","2056361","1268776","1778007","1887154","1892917","1877186","1810791","1439950","1422996"
"20223","11650531","서초4동","6890278","3301972","3588308","1167415","1388822","1275507","1291249","832860","934423","1343765","1381282","1042117","1046938","1287428","788747","1006502","1043290","1047149","1058666","1057182","896388","781099"
"20223","11650540","잠원동","6676857","3254200","3422657","1105962","987847","1181284","1382712","961515","1057537","1511084","1401331","924865","933609","1139665","766302","974270","996265","999392","998375","997570","889272","821714"
"20223","11650550","반포본동","286966","147683","139283","58115","33019","39133","59109","43599","53991","45920","72665","41527","40719","53965","32171","40781","42308","42506","42943","43152","39191","36086"
"20223","11650560","반포1동","6811812","3323125","3488687","977117","1175947","1478486","1389960","823943","966358","1697559","1434065","871349","880457","1114795","813589","982785","1001259","1002653","1004704","997705","933768","888938"
"20223","11650570","반포2동","1413867","657566","756302","411052","128613","161231","280629","200436","231906","316089","304109","193469","194003","236381","169818","201267","203174","206375","207515","206889","196117","192530"
"20223","11650580","반포3동","2945398","1334621","1610777","647655","339581","376909","558634","461449","561167","513599","564273","438285","481168","612629","335447","409297","413773","424048","420064","433990","439899","404327"
"20223","11650581","반포4동","5730024","2597444","3132580","1413205","551489","781126","1125664","788088","1070452","1343034","1138054","751597","796096","1025802","675441","827942","842055","838034","841128","835707","789716","755444"
"20223","11650590","방배본동","4419881","1994866","2425015","935178","475073","564231","862123","661617","921661","1158210","915357","531228","527365","723708","564013","637159","640318","638512","633494","635886","615898","618615"
"20223","11650600","방배1동","4713884","2160352","2553532","788872","680669","832175","808429","635006","968732","1158990","976391","599121","605018","800688","573676","687060","700619","697002","692017","679531","633033","624622"
"20223","11650610","방배2동","5044898","2305355","2739544","786828","715238","841835","816244","705989","1178765","1235593","1011105","620928","626400","905551","645324","714924","727881","733585","729490","731687","712394","694937"
"20223","11650620","방배3동","2998263","1396505","1601758","563568","365741","412983","482741","469663","703568","848113","671987","351888","329022","421618","375636","434530","441825","442106","439831","429558","403516","406896"
"20223","11650621","방배4동","6617542","2976521","3641020","1194714","839120","1002490","1185817","996699","1398702","1620410","1352167","825766","833687","1142744","842768","953537","969881","968519","966096","959004","907870","892634"
"20223","11650651","양재1동","8413966","4224037","4189929","1411868","1095585","1612633","1620157","1114861","1558864","1803072","1831475","1235114","1193791","1408290","942225","1246702","1300660","1305294","1298892","1243535","1011446","1007438"
"20223","11110515","청운효자동","3606790","1548951","2057839","671537","493363","539709","631875","530043","740265","821953","746786","517609","499607","600505","420329","514855","511537","526025","523841","517865","508119","504547"
"20223","11110530","사직동","3920336","1818634","2101702","376856","622418","796953","783715","620257","720136","516702","818123","727589","729014","775073","353834","566346","595935","618926","611774","599277","479917","448160"
"20223","11110540","삼청동","877049","414830","462220","118612","133366","146870","162894","132004","183305","173441","177190","158164","152760","139371","76124","122863","122459","127882","127743","129081","126059","120962"
"20223","11110550","부암동","1214589","551673","662916","220519","144900","144071","203940","185978","315181","357716","258505","136466","132166","174410","155328","173788","174988","175643","174768","171929","171137","172338"
"20223","11110560","평창동","813663","363248","450415","138115","86232","89072","126568","138663","235013","212302","167522","91848","94365","136503","111122","116004","115038","114731","114505","114641","118719","120023"
"20223","11110570","무악동","1987012","897892","1089120","396187","250064","237906","293532","295784","513537","467687","427859","251545","255834","340096","243992","286731","290002","287759","284041","285320","279071","274087"
"20223","11110580","교남동","3729177","1691868","2037308","795831","431943","485105","670095","535535","810668","1057613","815203","423309","407193","551568","474290","535874","533665","535320","532056","525635","528016","538610"
"20223","11110600","가회동","1386179","684299","701881","216196","190674","248814","273132","213719","243645","226124","305468","250626","249199","231478","123283","200926","209879","214623","213217","209268","173936","164329"
"20223","11110615","종로1?2?3?4가동","13658351","7523401","6134949","742815","2727332","2677231","2561771","2193734","2755466","1422264","2664753","2807405","2873022","2808721","1082188","1984553","2131098","2200328","2216003","2172978","1645672","1307718"
"20223","11110630","종로5?6가동","6516807","3381371","3135436","377585","1064233","1004621","1049644","1255677","1765046","1062770","1423829","1183888","1151028","1107358","587935","956864","1018058","1028204","1034190","1005364","791221","682907"
"20223","11110640","이화동","3633972","1619624","2014349","371465","878095","689518","558043","511409","625444","633911","689276","563602","624383","743508","379293","497392","524739","549744","545356","533292","501135","482315"
"20223","11110650","혜화동","8987899","3904135","5083764","1498881","3058847","1054153","1087264","1004269","1284485","2177893","1780235","1138024","1152695","1606269","1132781","1259895","1286263","1300911","1292326","1279870","1289444","1279189"
"20223","11110670","창신1동","2898791","1436059","1462732","153497","411420","459207","484012","576178","814476","641516","612056","433053","415608","473901","322657","423134","440759","441978","435566","424993","369863","362496"
"20223","11110680","창신2동","5946048","2742910","3203138","487628","864448","748919","764929","1282094","1798030","1676626","1256291","667626","653651","926928","764926","854430","847660","846545","848846","842482","848404","857680"
"20223","11110690","창신3동","1206615","558302","648313","182796","152815","164510","183591","212968","309935","350920","261846","129275","123453","181333","159790","174220","171495","170033","170237","168664","172438","179526"
"20223","11110700","숭인1동","2174348","1038744","1135603","210713","302417","335716","339401","412232","573867","527078","444231","270105","277245","380754","274936","309995","309471","309334","308574","307335","313052","316587"
"20223","11110710","숭인2동","5327005","2656876","2670128","409324","951303","859364","815019","931141","1360854","1376134","1119649","697579","680723","802143","650777","752853","758148","760582","755767","758718","761045","779892"
"20223","11140520","소공동","2740849","1428230","1312618","198886","472328","692153","633483","427150","316847","230429","647517","620002","605448","480882","156570","415386","466014","473692","475587","446415","255211","208544"
"20223","11140540","회현동","4408062","2060666","2347396","158775","593934","973045","951136","768880","962293","378506","966681","1074978","1032344","706850","248703","666396","731544","746636","742356","706243","469964","344923"
"20223","11140550","명동","5307310","2756504","2550807","322131","1079671","1321483","1172328","772682","639018","459713","1195739","1169551","1150182","996045","336082","804055","884965","904611","901024","853026","507744","451884"
"20223","11140570","필동","2207485","1211830","995653","167972","489465","412031","398785","367927","371304","357552","461015","400062","391811","392965","204080","327572","358543","361802","364555","343403","236185","215424"
"20223","11140580","장충동","2237927","1125080","1112847","173914","584984","412840","369515","309312","387362","480961","500754","346646","330954","351782","226831","321856","342390","344028","345755","326239","280413","277246"
"20223","11140590","광희동","5985472","3099815","2885658","374582","1224840","1229020","1096058","976472","1084501","1002308","1265506","1019225","1022073","1072258","604103","886587","941571","960890","963102","920424","688986","623911"
"20223","11140605","을지로동","5350661","3134281","2216379","201666","868847","1034241","1098718","1036781","1110407","503735","1214373","1121432","1106118","1009276","395727","808636","905743","926719","932111","894344","506441","376668"
"20223","11140615","신당동","5775806","2796862","2978944","379036","1056206","1146886","996244","989131","1208303","1336427","1173465","785308","765545","992962","722099","845490","886918","900587","884685","841157","708466","708504"
"20223","11140625","다산동","4121578","1937552","2184027","507260","652587","755540","660594","601514","944080","1053621","881854","512448","498530","659919","515207","596908","607203","610292","605501","598322","551111","552241"
"20223","11140635","약수동","2304965","1078246","1226718","291285","307196","393741","354727","335584","622432","524053","460245","291010","301842","430984","296833","326206","326257","326181","326046","327579","334178","338518"
"20223","11140645","청구동","3154034","1488619","1665414","530898","398206","519751","471565","483132","750482","839562","653385","373135","368187","514657","405106","455318","454509","451222","449000","447732","443830","452424"
"20223","11140650","신당5동","4184784","1930584","2254201","454269","643932","708749","659383","734967","983484","950904","820872","530226","549051","793704","540029","592075","597642","592427","594172","595418","608166","604884"
"20223","11140665","동화동","2868966","1350942","1518025","318351","387759","459008","457399","517892","728559","697608","573036","366535","375795","502400","353593","409176","419061","422454","418171","409920","396324","393860"
"20223","11140670","황학동","5902013","2748387","3153625","593301","927544","1228341","934959","883294","1334573","1514389","1234831","739873","738054","957995","716869","843322","846998","847970","845478","843758","848094","826391"
"20223","11140680","중림동","2053016","1005426","1047590","199771","280312","426655","409568","331852","404859","453012","439498","302291","298120","336673","223421","301352","316396","315882","313906","305789","254827","244865"
"20223","11170510","후암동","4303739","2063453","2240285","591412","584128","790105","742309","614497","981288","1252047","920454","480185","458670","633054","559327","621106","621835","621815","618038","611134","594506","615304"
"20223","11170520","용산2가동","4577419","2159697","2417722","561416","738604","955034","728346","542014","1052005","1280275","967501","514034","494735","718516","602357","647741","636662","644633","644268","649789","667787","686538"
"20223","11170530","남영동","2238943","1172078","1066864","193858","391588","426101","377895","353155","496347","472758","490101","328042","325560","379304","243179","324397","334241","338373","334998","329996","287360","289580"
"20223","11170555","청파동","7539458","3358392","4181066","960308","1639567","1375434","1116722","1059748","1387680","1978153","1597891","929953","900006","1184460","948995","1081998","1098555","1103223","1094280","1074037","1026406","1060960"
"20223","11170560","원효로1동","5191256","2541935","2649321","619970","855663","1274471","961791","692197","787162","1217298","1112843","693919","685669","860574","620952","750933","771574","772395","763408","751783","691838","689325"
"20223","11170570","원효로2동","4173672","1979144","2194528","639265","515995","732457","692929","620408","972618","1226800","906375","469238","450268","593066","527927","602202","600105","594851","594333","588774","586177","607229"
"20223","11170580","효창동","3756191","1664801","2091390","582505","547016","671096","595069","532041","828464","965323","790425","434792","432677","626799","506175","542170","540013","540960","538440","528896","526776","538937"
"20223","11170590","용문동","2773657","1283062","1490594","339560","371379","518250","442134","431388","670946","797075","560248","301050","306052","443625","365607","394313","396289","394594","393684","396451","400380","397947"
"20223","11170625","한강로동","5518392","2862133","2656258","491234","1075841","1365617","1035158","753018","797523","1090605","1146311","846950","846171","995304","593052","796400","830512","839214","833073","815096","716970","687129"
"20223","11170630","이촌1동","5057167","2281295","2775873","970653","451368","693947","970842","804980","1165378","1252872","1069716","609329","615907","861859","647484","716992","722857","723802","717979","720166","725961","729411"
"20223","11170640","이촌2동","1874647","911720","962927","257305","205079","333424","308352","276833","493656","528003","406769","207401","210318","286229","235928","265877","265878","262568","264135","265666","274461","276063"
"20224","11320515","창5동","4361275","1958878","2402396","723728","542432","618993","639127","694845","1142149","1000965","872639","535148","559098","824897","568529","619622","611179","609607","609387","614796","648420","648263"
"20224","11320521","도봉1동","3725144","1812290","1912854","442970","375839","419403","497679","647742","1341511","980071","765142","432344","443514","620898","483175","525541","518922","520565","519980","518449","549603","572085"
"20224","11320522","도봉2동","3362002","1598121","1763881","515878","351654","428975","499641","539293","1026562","881326","704677","384989","380246","555683","455080","487093","484159","480663","478627","477080","472654","481725"
"20224","11320660","쌍문1동","5305248","2298470","3006778","960280","768131","615986","740144","764654","1456049","1493452","1108709","603721","587179","820401","691785","770864","760762","758718","750910","729397","747734","786865"
"20224","11320670","쌍문2동","4493516","2050172","2443343","759030","517314","617391","649412","708576","1241793","1189172","908018","520779","519897","753842","601806","644204","637715","639199","633463","637139","644321","657473"
"20224","11320680","쌍문3동","5585869","2514989","3070880","890706","753651","787231","823697","845260","1485325","1490928","1176327","639101","624550","909267","745699","802147","794374","793058","792744","795485","793971","814089"
"20224","11320681","쌍문4동","2633505","1181754","1451751","563408","259714","316610","382711","405347","705716","764986","556047","279528","277845","405897","349204","378223","373155","370717","366418","366256","380568","398169"
"20224","11320690","방학1동","6655034","3148989","3506045","911940","778288","884681","996152","1171071","1912902","1649460","1326888","796951","830880","1180755","870102","941402","932444","935873","932223","935526","984652","992912"
"20224","11320700","방학2동","3207918","1521404","1686514","428368","328594","358205","455386","546044","1091321","877579","641803","358507","364517","533506","432007","459045","448209","446221","442395","448500","475899","487651"
"20224","11320710","방학3동","3567732","1626787","1940944","712864","325922","394350","520589","548716","1065291","1093330","751682","368399","341741","519724","492855","513246","499546","499441","499735","494695","515589","545480"
"20224","11350560","월계1동","4753280","2534297","2218983","807605","1136212","565361","635411","578708","1029983","1182958","973385","594435","590066","808098","604338","687343","691098","689429","687457","665726","662928","669301"
"20224","11350570","월계2동","3915675","1767793","2147883","745575","458038","455646","584267","579969","1092181","1294595","850777","381310","340278","501811","546906","567737","568282","564812","562536","553844","537150","561314"
"20224","11350580","월계3동","2682804","1219611","1463193","486065","278799","370346","410798","397945","738850","776862","560980","281398","282363","418079","363122","381487","374451","373578","373131","374309","398790","407059"
"20224","11350595","공릉1동","11007014","5231908","5775108","1646095","1974791","1536787","1618845","1576313","2654182","2957016","2254992","1235259","1243454","1848515","1467780","1571624","1550849","1552178","1547428","1559068","1608883","1616985"
"20224","11350600","공릉2동","7961343","3800040","4161304","1572835","1575240","1037442","1162247","1012972","1600608","2174564","1665131","899802","880940","1281973","1058936","1140293","1132337","1133787","1129356","1125652","1138910","1161007"
"20224","11350611","하계1동","3727829","1731627","1996201","730146","518342","370982","563995","604112","940252","979055","798091","469135","450141","575668","455739","534820","534892","538693","536380","533513","518190","531342"
"20224","11350612","하계2동","2963026","1316212","1646814","548627","344856","380445","491119","475924","722055","793785","619505","325459","330466","489615","404194","426008","415464","417509","412682","414065","433394","443904"
"20224","11350619","중계본동","4045495","1845215","2200279","1336305","369264","293687","751259","664937","630041","1004188","782607","468186","515771","757098","517642","569465","559475","562468","561815","560286","615941","616043"
"20224","11350621","중계1동","3867269","1737083","2130186","1240347","350644","288386","702303","603640","681950","1059520","773627","424261","443926","663469","502465","554782","547936","547813","546477","547919","562775","559565"
