"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"마포구","학원","3000035306","아트랑미술학원","서울특별시 마포구 동교로 192-1",", 4층 (동교동)","예능(대)","예능(중)","미술","미술","200","62","","Y","N","03995","개원","20190905","","99991231","20190905","20231029"
"마포구","학원","3000035308","디자인스럽학원","서울특별시 마포구 와우산로 108",", 3층 (창전동)","예능(대)","예능(중)","","미술","125","30","","Y","N","04059","개원","20190911","","99991231","20190911","20231018"
"마포구","학원","3000035325","서교이용학원","서울특별시 마포구 동교로 140",", 남도빌딩 4층 (서교동)","직업기술","산업응용기술","이?미용,","이?미용","50","50","","Y","N","04030","개원","20191004","","99991231","20191004","20231018"
"마포구","학원","3000035362","코스(KOS)에이전시&아카데미학원","서울특별시 마포구 독막로5길 8",", 3층 (합정동)","기예(대)","기예(중)","","화술","10","50","","Y","N","04047","개원","20191004","","99991231","20191004","20231018"
"마포구","학원","3000035366","커피헬로아카데미학원","서울특별시 마포구 양화로10길 19",", 5층 502호 (서교동)","직업기술","산업응용기술","","식음료품(바리스타,소믈리에)","35","60","","Y","N","04043","개원","20191011","","99991231","20191011","20231018"
"마포구","교습소","3000035378","뿌리깊은국어교습소","서울특별시 마포구 큰우물로 16",", 2층 (대흥동)","입시.검정 및 보습","보통교과","국어(중등A)","보습","20","5","국어(중등A):160000, 국어(중등B):200000, 국어(고등A):240000, 국어(고등B):280000","Y","N","04159","개원","20191007","","99991231","20191007","20231018"
"마포구","학원","3000035381","슥삭화실미술학원","서울특별시 마포구 동교로 227-7",", 3층, 4층 (연남동)","기예(대)","기예(중)","미술,","미술","8","60","","Y","N","03989","개원","20191007","","99991231","20191007","20231018"
"마포구","교습소","3000035382","클랑바이올린교습소","서울특별시 마포구 독막로22길 17",", 1층 (창전동)","예능(대)","예능(중)","바이올린 중급","음악","8","6","","Y","N","04078","개원","20191001","","99991231","20191001","20231018"
"마포구","학원","3000035469","메이플우드어학원","서울특별시 마포구 상암산로1길 69",", 2층 201호, 5층 501,502호 (상암동, 상암프라자)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","90","243","","Y","N","03905","개원","20191016","","99991231","20191016","20231018"
"마포구","교습소","3000035561","에이스트링바이올린교습소","서울특별시 마포구 마포대로 195",", 마포래미안푸르지오상가 4동 지3층(도로면2층) 201호 (아현동, 마포 래미안 푸르지오)","예능(대)","예능(중)","바이올린초급","음악","10","5","바이올린초급:130000, 바이올린중급:170000, 음악이론고급:210000, 바이올린중급:240000, 바이올린고급:300000","Y","N","04129","개원","20191017","","99991231","20191017","20231018"
"마포구","학원","3000035562","피아노라떼실용음악학원","서울특별시 마포구 신촌로12가길 34",", 2층 (노고산동)","기예(대)","기예(중)","실용음악(성악),","실용음악(성악)","210","30","","Y","N","04057","개원","20191024","","99991231","20191024","20231018"
"마포구","교습소","3000035563","꽃보다바둑교습소","서울특별시 마포구 월드컵북로 502",", 406호 (상암동, 월드컵파크 프라자)","기타(대)","기타(중)","바둑1","바둑","40","9","","Y","N","03918","개원","20191023","","99991231","20191023","20231018"
"마포구","학원","3000035565","호비뮤직성인음악학원","서울특별시 마포구 월드컵로3길 27",", 5층 (합정동)","기예(대)","기예(중)","","실용음악(성악)","24","60","","Y","N","04025","개원","20191104","","99991231","20191104","20231018"
"마포구","학원","3000035709","디탐무용학원","서울특별시 마포구 월드컵북로 163",", 3층 (성산동)","예능(대)","예능(중)","","무용","40","25","","Y","N","03948","개원","20191023","","99991231","20191023","20231018"
"마포구","교습소","3000035797","커널잉글리쉬영어교습소","서울특별시 마포구 대흥로30길 6","3층(대흥동)","입시.검정 및 보습","외국어","실용영문법1","외국어","80","7","실용영문법1:92000, 실용영문법2:138000, 실용영문법3:185000, 실용영문법4:230000, 실용영문법5:275000, 미디어회화1:92000, 미디어회화2:138000, 미디어회화3:185000, 미디어회화4:230000, 미디어회화5:275000","Y","N","04112","개원","20191205","","99991231","20191205","20231018"
"마포구","학원","3000035809","마포프라미스어학원","서울특별시 마포구 백범로 119",", 2층, 5층 (염리동, 원빌딩)","국제화","외국어","실용외국어(유아/초?중?고)","실용외국어(유아/초?중?고)","315","150","","Y","N","04137","개원","20191206","","99991231","20200101","20231206"
"마포구","교습소","3000035812","비엔나뮤직피아노교습소","서울특별시 마포구 월드컵북로 502-36",", 102호 (상암동, 상암월드컵파크10단지)","예능(대)","예능(중)","","음악","15","5","","Y","N","03918","개원","20191212","","99991231","20191212","20231018"
"마포구","교습소","3000035824","대치탑국어교습소","서울특별시 마포구 독막로 291",", 한청실업빌딩 3층 (신수동)","입시.검정 및 보습","","고등국어A","","45","9","고등국어A:400000, 고등국어B:380000, 고등국어C:350000, 고등국어D:330000, 고등국어E:300000, 고등국어F:200000, 고등국어G:150000, 중등국어A:330000, 중등국어B:300000","Y","N","04096","개원","20191211","","99991231","20191211","20231018"
"마포구","학원","3000035831","비상시대학원","서울특별시 마포구 서강대길 11",", 2층 (신수동)","입시.검정 및 보습","보통교과","보습,","보습","40","70","","Y","N","04111","개원","20191212","20200601","20201231","20191212","20231018"
"마포구","학원","3000035832","금성출판사원격교습학원","서울특별시 마포구 만리재옛길 23",", 3층 (공덕동, 금성출판사)","입시.검정 및 보습","보통교과","","보습","50","999","","Y","N","04210","개원","20191101","","99991231","20191101","20231018"
